GeoType,,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,president,presidentOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,citizens,citizensOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,priority,priorityOppose
State,16,Iowa,2410775,67.886,17.991,54.187,32.349,56.309,26.393,61.104,8.129,60.962,38.987,70.167,22.364,70.772,21.825,66.217,24.451,60.681,31.493,39.792,51.926,53.286,46.714,38.794,60.317,76.664,21.401,69.369,27.869,62.728,36.827,63.861,34.837,64.037,34.061,76.971,20.502,31.93,66.845,48.608,49.933,74.861,24.928,69.613,11.104,48.304,29.267,58.189,23.75,50.785,18.569,53.587,17.427,62.771,12.135,33.18,66.853,30.407,68.92,48.115,25.595
State,17,Kansas,2199580,67.585,19.2,51.297,34.619,52.326,26.807,60.548,9.042,59.437,40.566,67.07,25.033,67.359,24.693,62.878,26.381,58.967,32.81,40.835,51.203,53.118,46.882,40.142,59.459,75.174,23.141,67.848,29.809,59.605,40.081,60.244,38.792,62.992,35.371,75.443,22.623,35.386,63.616,53.462,45.49,73.164,26.854,65.998,11.885,45.861,30.313,54.88,24.65,51.468,18.939,53.772,18.132,60.85,13.406,32.135,67.916,31.349,68.051,47.948,29.552
State,18,Kentucky,3439746,61.972,21.957,47.66,37.15,46.897,29.852,53.145,9.884,54.83,45.201,61.889,28.426,61.844,28.034,59.406,29.121,57.056,35.053,37.973,52.728,50.611,49.389,36.362,63.251,71.784,27.122,66.356,32.099,54.579,44.782,55.665,42.477,55.417,44.008,74.104,24.341,35.928,63.524,59.25,40.134,70.495,29.634,63.885,12.893,43.068,35.537,52.928,29.519,50.056,19.906,52.036,19.182,58.059,14.929,28.218,71.774,29.861,69.422,44.15,32.772
State,19,Louisiana,3561012,65.128,17.41,48.299,36.22,47.321,26.13,57.068,8.534,58.384,41.668,62.836,23.884,62.749,23.835,60.067,24.34,58.339,29.908,42.296,45.979,54.793,45.207,39.976,59.386,71.057,28.545,66.524,32.079,57.286,42.21,60.303,38.252,57.446,42.246,74.205,23.984,35.374,64.142,63.373,36.322,73.974,26.161,63.458,12.473,45.353,32.709,53.48,27.752,52.053,19.397,54.472,18.169,58.71,14.281,28.68,71.429,26.184,72.996,49.74,27.948
State,20,Maine,1082993,70.042,18.515,52.766,33.348,57.036,25.249,65.183,9.013,60.454,39.754,68.794,25.806,68.915,24.578,66.537,26.158,61.947,32.824,42.728,51.055,57.165,42.835,44.987,55.623,77.196,22.643,72.147,27.439,61.754,38.341,59.771,40.311,64.888,35.059,76.899,22.467,30.66,69.694,52.335,48.173,73.764,26.207,67.493,13.075,48.671,27.664,58.021,23.003,54.91,17.194,55.939,18.69,62.389,14.096,35.147,65.108,39.378,60.355,50.999,27.367
State,21,Maryland,4677166,77.943,9.274,63.802,25.162,65.801,18.908,72.404,5.046,72.394,27.563,77.672,12.791,77.149,12.473,74.362,14.638,70.854,20.326,52.349,38.7,65.752,34.248,51.857,47.766,82.126,16.155,76.35,20.932,74.308,24.983,74.44,24.008,69.519,29.634,81.792,15.966,22.69,76.508,41.756,56.399,83.455,16.354,76.206,8.895,60.763,20.985,69.609,17.41,62.231,15.535,65.006,13.691,71.57,9.934,40.124,60.02,32.781,66.279,64.202,15.573
State,22,Massachusetts,5479293,77.289,11.716,62.457,25.874,67.208,19.919,73.199,5.853,71.102,28.856,78.385,15.915,77.104,15.546,73.528,17.809,70.443,24.215,49.606,44.277,64.847,35.153,50.855,49.101,82.704,16.418,77.349,21.068,72.674,27.01,70.811,28.618,70.464,28.818,81.84,16.902,23.439,76.527,43.287,56.363,80.584,19.394,75.141,9.893,58.345,20.867,67.587,17.085,59.863,14.649,61.118,15.019,69.931,9.701,41.667,58.337,40.309,59.213,60.906,18.432
State,23,Michigan,7787388,70.269,15.442,56.246,30.809,54.799,24.517,64.45,7.633,62.469,37.589,70.586,20.261,70.606,19.816,66.25,22.155,62.706,28.521,43.948,47.408,57.502,42.498,43.643,56.298,77.913,20.524,73.711,24.521,66.77,32.934,66.346,32.739,65.669,33.049,77.857,20.153,29.016,70.011,49.713,48.758,77.131,22.508,70.421,10.619,51.524,26.368,61.114,21.175,57.5,16.851,57.573,16.026,64.186,11.91,33.64,66.28,30.966,68.185,52.968,24.553
State,24,Minnesota,4267530,71.586,15.951,56.266,30.87,61.066,24.33,65.872,7.506,64.071,35.957,73.132,20.89,73.626,20.159,69.384,22.6,62.837,29.876,43.058,50.393,56.501,43.499,43.45,56.186,78.561,19.848,71.499,26.363,66.267,33.326,65.04,34.051,66.805,31.403,78.25,20.124,29.314,69.912,48.183,50.507,76.082,23.777,71.314,9.918,51.062,26.679,60.722,21.888,52.924,17.914,56.074,17.239,65.516,11.539,36.067,64.047,34.198,65.124,51.893,25.438
State,25,Mississippi,2270925,66.732,14.343,52.069,33.901,48.588,23.875,55.495,7.486,61.39,38.492,65.243,18.801,63.343,19.633,58.356,20.999,59.739,26.179,44.193,42.936,55.41,44.591,41.7,57.321,73.776,23.83,69.33,27.626,62.929,36.096,65.52,31.579,61.235,37.749,75.261,22.446,35.44,63.037,62.106,35.107,77.266,22.252,66.801,10.989,51.081,27.094,58.542,22.539,56.581,16.409,57.247,15.141,61.818,12.498,28.487,71.551,24.928,74.001,52.076,24.714
State,26,Missouri,4723298,67.711,18.489,52.003,34.099,52.812,26.226,59.854,8.812,59.659,40.387,67.523,24.046,67.699,23.4,63.117,25.397,59.876,31.661,40.993,49.571,54.259,45.741,40.445,59.053,75.192,22.857,68.344,29.061,60.372,39.063,61.413,37.287,63.55,34.252,75.183,22.447,33.518,64.813,53.427,44.432,74.182,25.48,66.635,12.504,47.451,29.328,56.266,23.552,52.162,17.445,54.985,17.592,61.417,13.293,31.514,68.545,30.274,69.034,48.462,26.25
State,27,Montana,822265,66.605,19.206,51.552,34.907,53.497,29.207,58.976,8.289,59.943,39.901,67.901,23.581,66.138,23.627,63.98,25.62,58.833,32.852,38.648,53.596,51.875,48.125,37.176,61.78,76.444,21.736,68.217,29.265,60.461,38.937,60.254,36.421,58.245,40.751,77.132,20.857,31.117,67.151,46.593,51.948,73.71,26.352,68.016,10.695,46.073,33.991,55.049,28.621,47.978,20.215,51.732,18.359,61.418,11.161,35.67,63.785,33.372,65.832,46.064,31.552
State,28,Nebraska,1440463,66.605,19.271,51.169,35.156,51.316,27.389,58.259,8.748,59.306,40.548,66.817,24.022,66.356,24.37,62.521,25.998,58.29,32.803,39.251,52.617,51.132,48.868,37.798,61.283,75.584,22.429,67.98,29.392,59.998,39.471,61.535,37.276,62.23,36.133,75.794,22.569,33.414,65.813,52.975,45.876,73.168,26.863,65.734,11.94,45.442,30.893,53.489,24.856,50.021,18.154,52.122,17.584,60.194,12.379,31.921,68.003,29.79,69.594,46.14,29.995
State,29,Nevada,2291340,71.56,15.11,56.649,30.492,57.095,24.281,64.548,7.5,65.335,34.731,71.074,20.382,70.656,19.888,68.42,21.169,65.646,26.739,48.09,43.437,60.312,39.688,46.355,53.596,76.063,22.076,71.168,27.207,64.916,34.61,63.223,34.041,63.162,36.148,76.699,21.063,32.306,66.981,50.414,48.337,77.182,22.631,69.475,11.869,51.924,28.115,61.857,23.879,55.508,18.991,59.159,17.705,64.656,12.671,36.298,63.598,33.795,65.196,55.858,24.922
