Region,ResearchTrends
District of Columbia,100
Vermont,68
Alaska,41
Oregon,41
New Hampshire,41
Washington,39
Montana,39
Maryland,37
Hawaii,37
Connecticut,36
Rhode Island,36
Massachusetts,35
Maine,35
California,34
Colorado,34
Virginia,32
New Mexico,32
Utah,31
New York,31
Iowa,30
Delaware,30
Idaho,29
Minnesota,29
Arizona,28
Nebraska,28
Wyoming,27
West Virginia,26
South Dakota,26
Kentucky,26
Florida,26
Wisconsin,26
Indiana,26
Kansas,25
New Jersey,25
Pennsylvania,25
North Dakota,24
Illinois,24
North Carolina,23
Michigan,23
Louisiana,23
Nevada,23
Oklahoma,23
Texas,22
Missouri,21
South Carolina,21
Georgia,20
Alabama,20
Ohio,20
Arkansas,20
Tennessee,19
Mississippi,17
